skill,category,aliases
Python,programming,"python|py"
Java,programming,"java"
C,programming,"c"
C++,programming,"c++"
C#,programming,"c#"
JavaScript,programming,"javascript|js"
TypeScript,programming,"typescript|ts"
SQL,database,"sql"
MySQL,database,"mysql"
PostgreSQL,database,"postgresql|postgres"
MongoDB,database,"mongodb|mongo db"
Pandas,data,"pandas"
NumPy,data,"numpy"
Matplotlib,data,"matplotlib"
Seaborn,data,"seaborn"
Power BI,data,"power bi|powerbi"
Excel,data,"excel|ms excel|microsoft excel"
Machine Learning,ml,"machine learning|ml|machine-learning"
Deep Learning,ml,"deep learning|deep-learning"
Scikit-learn,ml,"scikit-learn|sklearn|scikit learn"
TensorFlow,ml,"tensorflow"
PyTorch,ml,"pytorch"
NLP,ml,"nlp|natural language processing"
Computer Vision,ml,"computer vision"
OpenCV,ml,"opencv|open cv"
CNN,ml,"cnn|convolutional neural network"
YOLO,ml,"yolo"
Transformers,ml,"transformers"
LLM,ai,"llm|large language model|large language models"
RAG,ai,"rag|retrieval augmented generation"
Artificial Intelligence,ai,"artificial intelligence|artificial-intelligence"
APIs,backend,"apis"
FastAPI,backend,"fastapi"
Django,backend,"django"
Flask,backend,"flask"
REST API,backend,"rest api|restful api"
Docker,cloud,"docker"
AWS,cloud,"aws|amazon web services"
Azure,cloud,"azure|microsoft azure"
GCP,cloud,"gcp|google cloud|google cloud platform"
Git,tools,"git"
GitHub,tools,"github|git hub"
Hugging Face,ai,"hugging face|huggingface"
Statistics,data,"statistics|statistical analysis"
Canva,tools,"canva"
MS Word,tools,"ms word|microsoft word|word"
MS PowerPoint,tools,"ms powerpoint|microsoft powerpoint|powerpoint"
